,Date,Open,High,Low,Close,Adj Close,Volume,,
18/12/2021,270,46219.25391,47313.82813,45598.44141,46848.77734,46848.77734,26098292690,,1
20/12/2021,272,46707.0625,47401.71875,45579.80859,46880.27734,46880.27734,30961902129,,1
22/12/2021,274,48937.09766,49544.79688,48450.94141,48628.51172,48628.51172,24447979559,,1
24/12/2021,276,50806.05078,51814.02734,50514.49609,50822.19531,50822.19531,24367912228,,1
26/12/2021,278,50428.69141,51196.37891,49623.10547,50809.51563,50809.51563,20964372926,,1
28/12/2021,280,50679.85938,50679.85938,47414.21094,47588.85547,47588.85547,33430376883,,1
30/12/2021,282,46490.60547,47879.96484,46060.3125,47178.125,47178.125,26686491018,,1
01/01/2022,284,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004,,1
03/01/2022,286,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362,,1
05/01/2022,288,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859,,1
07/01/2022,290,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520,,1
09/01/2022,292,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372,,1
11/01/2022,294,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900,,1
13/01/2022,296,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082,,1
15/01/2022,298,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298,,1
17/01/2022,300,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261,,1
19/01/2022,302,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258,,1
21/01/2022,304,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031,,1
23/01/2022,306,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951,,1
25/01/2022,308,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594,,1
27/01/2022,310,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629,,1
29/01/2022,312,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075,,1
31/01/2022,314,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465,,1
02/02/2022,316,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416,,1
04/02/2022,318,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792,,1
06/02/2022,320,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334,,1
08/02/2022,322,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868,,1
10/02/2022,324,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537,,1
12/02/2022,326,42412.30078,42992.55078,41852.57422,42244.46875,42244.46875,18152390304,,1
14/02/2022,328,42157.39844,42775.77734,41681.95703,42586.91797,42586.91797,20827783012,,1
16/02/2022,330,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657,,1
18/02/2022,332,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704,,1
20/02/2022,334,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452,,1
22/02/2022,336,37068.76953,38359.85547,36488.93359,38286.02734,38286.02734,25493150450,,1
24/02/2022,338,37278.56641,38968.83984,34459.21875,38332.60938,38332.60938,46383802093,,1
26/02/2022,340,39213.08203,40005.34766,38702.53516,39105.14844,39105.14844,17467554129,,1
28/02/2022,342,37706,43760.45703,37518.21484,43193.23438,43193.23438,35690014104,,1
02/03/2022,344,44357.61719,45077.57813,43432.85156,43924.11719,43924.11719,29183112630,,1
04/03/2022,346,42458.14063,42479.61328,38805.84766,39137.60547,39137.60547,28516271427,,1
06/03/2022,348,39404.19922,39640.17578,38211.64844,38419.98438,38419.98438,19745229902,,1
08/03/2022,350,38059.90234,39304.44141,37957.38672,38737.26953,38737.26953,25776583476,,1
10/03/2022,352,41974.07031,42004.72656,38832.94141,39437.46094,39437.46094,31078064711,,1
12/03/2022,354,38794.46484,39308.59766,38772.53516,38904.01172,38904.01172,14616450657,,1
14/03/2022,356,37846.31641,39742.5,37680.73438,39666.75391,39666.75391,24322159070,,1
16/03/2022,358,39335.57031,41465.45313,39022.34766,41143.92969,41143.92969,39616916192,,1
18/03/2022,360,40944.83984,42195.74609,40302.39844,41801.15625,41801.15625,34421564942,,1
20/03/2022,362,42191.40625,42241.16406,41004.75781,41247.82422,41247.82422,20127946682,,1
22/03/2022,364,41074.10547,43124.70703,40948.28125,42358.80859,42358.80859,32004652376,,1
24/03/2022,366,42914.27344,44117.3125,42731.73047,44069.44922,44069.44922,30671362048,,1
